Method,Number of Days,Distance function,Days function,Base,RAI,RPC,Start day,End day,Test time,Test duration,File used,TPP,TNP,FPP,FNP
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,2700,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:14:12.307107,23.35036563873291,coletoressafra2021_31_23,4.955186872775947,0,58.17074114576871,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,27000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:14:39.425600,27.108492612838745,coletoressafra2021_31_23,4.022133627327336,0,53.95705002928948,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,270000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:15:09.611869,30.17627215385437,coletoressafra2021_31_23,3.207145359214805,0,49.94489425668611,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,42,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:15:23.097937,13.4860680103302,coletoressafra2021_31_23,6.804077685445523,0,74.22332118984372,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,420,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:15:42.331080,19.233142375946045,coletoressafra2021_31_23,5.254773076721435,0,64.2644465770237,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,4200,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:16:06.043576,23.712496280670166,coletoressafra2021_31_23,4.253884124242254,0,57.52786476031069,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,42000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:16:33.286568,27.242992162704468,coletoressafra2021_31_23,3.472074712081402,0,53.57023344642456,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,420000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:17:03.210368,29.913591623306274,coletoressafra2021_31_23,2.760492007207698,0,49.2090286168029,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,98,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:17:19.000031,15.78966212272644,coletoressafra2021_31_23,5.607853213556213,0,70.0556751380473,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,980,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:17:39.758850,20.758819341659546,coletoressafra2021_31_23,4.442601509950681,0,61.68308294085531,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,9800,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:18:04.958509,25.1986563205719,coletoressafra2021_31_23,3.566379114567607,0,55.46875344458042,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,98000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:18:33.362795,28.402286529541016,coletoressafra2021_31_23,2.888380790027771,0,51.6064922945588,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,980000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:19:04.380293,31.01749873161316,coletoressafra2021_31_23,2.3140251291455503,0,46.78313040319748,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,63,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:19:18.846322,14.456028461456299,coletoressafra2021_31_23,5.35210065171439,0,72.21274928584488,0
