LatitudeDecimal,LongitudeDecimal,Situacao,MediaDiasAposInicioCiclo,QuantidadeDeAnosUsados,QuantidadeDeAnosPositivos
-22.97290677726081,-53.66263134182254,Encerrado sem esporos,-1,3,0
-26.26051039273908,-53.44983534533868,Com esporos,130.98473193468013,3,2
-26.07786574743473,-53.44983534533868,Encerrado sem esporos,-1,3,0
-25.89522110213037,-53.44983534533868,Com esporos,133.18740423238773,3,3
-25.712576456826035,-53.44983534533868,Com esporos,117.99717507361461,3,3
-25.529931811521685,-53.44983534533868,Com esporos,103.99999999999999,3,1
-25.34728716621733,-53.44983534533868,Com esporos,117.00000000000003,3,1
-25.164642520912995,-53.44983534533868,Com esporos,103.99999999999999,3,1
-24.98199787560864,-53.44983534533868,Encerrado sem esporos,-1,3,0
-24.79935323030429,-53.44983534533868,Encerrado sem esporos,-1,3,0
-24.616708584999948,-53.44983534533868,Com esporos,152.99999999999997,3,1
-24.434063939695594,-53.44983534533868,Com esporos,143.66627996854368,3,2
-24.251419294391244,-53.44983534533868,Com esporos,159.99999999999994,3,1
-24.068774649086897,-53.44983534533868,Encerrado sem esporos,-1,3,0
-23.886130003782554,-53.44983534533868,Encerrado sem esporos,-1,3,0
-23.703485358478204,-53.44983534533868,Encerrado sem esporos,-1,3,0
-23.52084071317385,-53.44983534533868,Encerrado sem esporos,-1,3,0
-23.338196067869507,-53.44983534533868,Encerrado sem esporos,-1,3,0
-23.155551422565164,-53.44983534533868,Encerrado sem esporos,-1,3,0
-22.97290677726081,-53.44983534533868,Encerrado sem esporos,-1,3,0
-22.790262131956464,-53.44983534533868,Encerrado sem esporos,-1,3,0
-26.260510392739075,-53.2370393488548,Com esporos,121.30236516614404,3,3
-26.07786574743473,-53.23703934885481,Com esporos,119.00000000000003,3,1
-25.89522110213038,-53.2370393488548,Com esporos,119.07140714714009,3,2
-25.712576456826035,-53.2370393488548,Com esporos,120.51927746083409,3,3
-25.52993181152169,-53.23703934885481,Com esporos,117.60952342391325,3,2
-25.34728716621733,-53.2370393488548,Com esporos,88.00000000000003,3,1
-25.16464252091299,-53.2370393488548,Com esporos,101.46920715172661,3,2
-24.98199787560864,-53.23703934885481,Com esporos,140.4563989286355,3,2
-24.79935323030429,-53.2370393488548,Com esporos,126.42784503423286,3,2
-24.616708584999945,-53.23703934885481,Com esporos,102.37187113655779,3,2
-24.434063939695594,-53.2370393488548,Encerrado sem esporos,-1,3,0
-24.251419294391248,-53.23703934885481,Com esporos,154.00000000000006,3,1
-24.0687746490869,-53.2370393488548,Encerrado sem esporos,-1,3,0
-23.88613000378255,-53.2370393488548,Encerrado sem esporos,-1,3,0
-23.703485358478208,-53.23703934885481,Encerrado sem esporos,-1,3,0
-23.520840713173857,-53.2370393488548,Encerrado sem esporos,-1,3,0
-23.33819606786951,-53.2370393488548,Encerrado sem esporos,-1,3,0
-23.155551422565164,-53.23703934885481,Encerrado sem esporos,-1,3,0
-22.97290677726081,-53.2370393488548,Encerrado sem esporos,-1,3,0
-22.790262131956467,-53.2370393488548,Encerrado sem esporos,-1,3,0
-26.443155038043425,-53.02424335237093,Encerrado sem esporos,-1,3,0
-26.260510392739075,-53.02424335237094,Com esporos,131.99621206686194,3,2
-26.07786574743473,-53.02424335237093,Com esporos,123.5441552897422,3,3
-25.89522110213038,-53.02424335237094,Com esporos,128.93796958227634,3,2
-25.712576456826035,-53.02424335237094,Com esporos,121.7003305441718,3,3
-25.52993181152169,-53.02424335237093,Com esporos,126.45157175772862,3,2
-25.34728716621733,-53.02424335237094,Com esporos,103.00000000000001,3,1
-25.16464252091299,-53.02424335237094,Com esporos,106.88311372709916,3,2
