LatitudeDecimal,LongitudeDecimal,Situacao,MediaDiasAposInicioCiclo,QuantidadeDeAnosUsados,QuantidadeDeAnosPositivos
-24.434063939695594,-53.2370393488548,Encerrado sem esporos,-1,3,0
-24.251419294391248,-53.23703934885481,Com esporos,154.0,3,1
-24.0687746490869,-53.2370393488548,Encerrado sem esporos,-1,3,0
-23.88613000378255,-53.2370393488548,Encerrado sem esporos,-1,3,0
-23.703485358478208,-53.23703934885481,Encerrado sem esporos,-1,3,0
-23.520840713173857,-53.2370393488548,Encerrado sem esporos,-1,3,0
-23.33819606786951,-53.2370393488548,Encerrado sem esporos,-1,3,0
-23.155551422565164,-53.23703934885481,Encerrado sem esporos,-1,3,0
-22.97290677726081,-53.2370393488548,Encerrado sem esporos,-1,3,0
-22.790262131956467,-53.2370393488548,Encerrado sem esporos,-1,3,0
-26.443155038043425,-53.02424335237093,Encerrado sem esporos,-1,3,0
-26.260510392739075,-53.02424335237094,Com esporos,131.99242424242425,3,2
-26.07786574743473,-53.02424335237093,Com esporos,122.36425774912938,3,3
-25.89522110213038,-53.02424335237094,Com esporos,128.87596899224806,3,2
-25.712576456826035,-53.02424335237094,Com esporos,120.71659783457976,3,3
-25.52993181152169,-53.02424335237093,Com esporos,126.40316205533595,3,2
-25.34728716621733,-53.02424335237094,Com esporos,103.0,3,1
-25.16464252091299,-53.02424335237094,Com esporos,106.26976744186047,3,2
-24.98199787560864,-53.02424335237093,Encerrado sem esporos,-1,3,0
-24.79935323030429,-53.02424335237094,Com esporos,108.0,3,1
-24.616708584999945,-53.02424335237093,Com esporos,48.0,3,1
-24.434063939695594,-53.02424335237094,Com esporos,76.9608938547486,3,2
-24.251419294391248,-53.02424335237093,Com esporos,149.0,3,1
-24.0687746490869,-53.02424335237094,Encerrado sem esporos,-1,3,0
-23.88613000378255,-53.02424335237094,Encerrado sem esporos,-1,3,0
-23.703485358478208,-53.02424335237093,Encerrado sem esporos,-1,3,0
-23.520840713173857,-53.02424335237094,Encerrado sem esporos,-1,3,0
-23.33819606786951,-53.02424335237094,Encerrado sem esporos,-1,3,0
-23.155551422565164,-53.02424335237093,Encerrado sem esporos,-1,3,0
-22.97290677726081,-53.02424335237094,Encerrado sem esporos,-1,3,0
-22.790262131956467,-53.02424335237094,Encerrado sem esporos,-1,3,0
-22.60761748665212,-53.02424335237093,Encerrado sem esporos,-1,3,0
-26.443155038043425,-52.81144735588706,Encerrado sem esporos,-1,3,0
-26.260510392739075,-52.81144735588707,Com esporos,113.27800829875518,3,3
-26.07786574743473,-52.81144735588706,Com esporos,105.42056074766356,3,2
-25.89522110213038,-52.81144735588707,Com esporos,116.99145299145299,3,2
-25.712576456826035,-52.81144735588707,Com esporos,116.48068669527898,3,2
-25.52993181152169,-52.81144735588706,Com esporos,116.13733905579399,3,2
-25.34728716621733,-52.81144735588707,Com esporos,116.0,3,1
-25.16464252091299,-52.81144735588707,Encerrado sem esporos,-1,3,0
-24.98199787560864,-52.81144735588706,Encerrado sem esporos,-1,3,0
-24.79935323030429,-52.81144735588707,Encerrado sem esporos,-1,3,0
-24.616708584999945,-52.81144735588706,Com esporos,89.0,3,1
-24.434063939695594,-52.81144735588707,Encerrado sem esporos,-1,3,0
-24.251419294391248,-52.81144735588706,Encerrado sem esporos,-1,3,0
-24.0687746490869,-52.81144735588707,Encerrado sem esporos,-1,3,0
-23.88613000378255,-52.81144735588707,Encerrado sem esporos,-1,3,0
-23.703485358478208,-52.81144735588706,Encerrado sem esporos,-1,3,0
-23.520840713173857,-52.81144735588707,Encerrado sem esporos,-1,3,0
-23.33819606786951,-52.81144735588707,Encerrado sem esporos,-1,3,0
-23.155551422565164,-52.81144735588706,Encerrado sem esporos,-1,3,0
-22.97290677726081,-52.81144735588707,Encerrado sem esporos,-1,3,0
-22.790262131956467,-52.81144735588707,Encerrado sem esporos,-1,3,0
-22.60761748665212,-52.81144735588706,Encerrado sem esporos,-1,3,0
-26.44315503804342,-52.59865135940319,Com esporos,102.0,3,1
-26.26051039273908,-52.59865135940319,Com esporos,101.72260900253457,3,3
-26.07786574743473,-52.59865135940319,Com esporos,142.0408163265306,3,2
-25.89522110213037,-52.59865135940319,Com esporos,124.01211526566132,3,3
-25.712576456826035,-52.59865135940319,Encerrado sem esporos,-1,3,0
-25.529931811521685,-52.59865135940319,Com esporos,118.44725738396625,3,2
-25.34728716621733,-52.59865135940319,Com esporos,104.45497630331754,3,2
-25.164642520912995,-52.59865135940319,Encerrado sem esporos,-1,3,0
-24.98199787560864,-52.59865135940319,Encerrado sem esporos,-1,3,0
-24.79935323030429,-52.59865135940319,Encerrado sem esporos,-1,3,0
-24.616708584999948,-52.59865135940319,Com esporos,78.34394904458598,3,2
-24.434063939695594,-52.59865135940319,Encerrado sem esporos,-1,3,0
-24.251419294391244,-52.59865135940319,Com esporos,160.0,3,1
-24.068774649086897,-52.59865135940319,Com esporos,99.80428360413589,3,3
-23.886130003782554,-52.59865135940319,Encerrado sem esporos,-1,3,0
-23.703485358478204,-52.59865135940319,Encerrado sem esporos,-1,3,0
-23.52084071317385,-52.59865135940319,Com esporos,166.0,3,1
-23.338196067869507,-52.59865135940319,Encerrado sem esporos,-1,3,0
-23.155551422565164,-52.59865135940319,Encerrado sem esporos,-1,3,0
