Method,Number of Days,Distance function,Days function,Base,RAI,RPC,Start day,End day,Test time,Test duration,File used,TPP,TNP,FPP,FNP
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,540000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:08:18.754163,43.01326823234558,coletoressafra2021_31_23,4.766723740296546,0,80.68568948583682,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,54000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:08:39.043567,20.279414892196655,coletoressafra2122_31_23,6.832683637014447,0,65.7768232448974,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,540000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:09:00.776234,21.732667207717896,coletoressafra2122_31_23,5.859395438142658,0,61.36485732311055,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,54000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:09:25.479360,24.703125715255737,coletoressafra2223_31_23,6.793459784005353,0,63.01039058785383,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,540000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:09:52.156768,26.677408456802368,coletoressafra2223_31_23,5.43965841709334,0,57.50231810699222,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,51000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:10:30.959395,38.802626848220825,coletoressafra2021_31_23,5.389316295946452,0,83.92277712471866,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,510000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:11:13.891039,42.92164182662964,coletoressafra2021_31_23,4.303258630000583,0,80.90910286753443,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,51000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:11:34.114322,20.223283290863037,coletoressafra2122_31_23,6.203199995147215,0,66.22770963735289,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,510000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:11:55.755379,21.641056776046753,coletoressafra2122_31_23,5.3184577571557226,0,61.63839248854101,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,51000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:12:20.457221,24.691854000091553,coletoressafra2223_31_23,6.217833287142368,0,63.38248167317881,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,510000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:12:47.097949,26.630728006362915,coletoressafra2223_31_23,4.972655244214133,0,57.71473400551209,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,11000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:13:22.257975,35.16002559661865,coletoressafra2021_31_23,5.606825145057309,0,86.82527910066912,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,110000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:14:02.701356,40.443381547927856,coletoressafra2021_31_23,4.5429531800141865,0,84.03287588244788,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,11000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:14:21.275918,18.574562311172485,coletoressafra2122_31_23,6.127268473904868,0,67.47699636296757,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,110000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:14:42.052011,20.766103982925415,coletoressafra2122_31_23,5.37076944275492,0,66.03057214906845,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,11000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:15:04.898912,22.836875915527344,coletoressafra2223_31_23,6.424727402418825,0,64.80028058300645,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,110000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:15:30.209591,25.300690174102783,coletoressafra2223_31_23,5.2541216608259385,0,62.08034331854707,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,84000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:16:10.237364,40.027772426605225,coletoressafra2021_31_23,4.330879546869367,0,84.45024261812911,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,840000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:16:53.999486,43.75105118751526,coletoressafra2021_31_23,3.4374887796255456,0,78.6171954131801,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,84000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:17:14.609873,20.60039782524109,coletoressafra2122_31_23,5.099959268617982,0,66.5573158162181,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,840000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:17:36.584004,21.9741313457489,coletoressafra2122_31_23,4.323891124826084,0,59.89796392091592,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,84000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:18:01.706402,25.122397661209106,coletoressafra2223_31_23,5.056417173498238,0,62.45256715383927,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,840000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:18:28.821665,27.11526322364807,coletoressafra2223_31_23,4.028952799738404,0,56.25867786352126,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,97000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:19:09.115652,40.29398727416992,coletoressafra2021_31_23,3.9967128839800945,0,83.61035404988921,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,970000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:19:52.858238,43.73259520530701,coletoressafra2021_31_23,3.2298304108458438,0,78.24726286804838,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,97000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:20:13.579211,20.7209734916687,coletoressafra2122_31_23,4.7434290557195675,0,66.1381524411843,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,970000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:20:35.660785,22.081573486328125,coletoressafra2122_31_23,4.066444016282596,0,59.60689853482713,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,97000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:21:00.957556,25.296770811080933,coletoressafra2223_31_23,4.707672668082114,0,62.00767324976982,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,970000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:21:28.211082,27.243529319763184,coletoressafra2223_31_23,3.7905371802928167,0,56.46018486728081,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,70000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:22:07.841552,39.63046979904175,coletoressafra2021_31_23,3.947905392613783,0,85.3872766458037,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,700000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:22:51.384827,43.543275356292725,coletoressafra2021_31_23,3.166753979731289,0,79.75853803978545,0
